Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,4149535.28,218982.45,733131.00,2199,0,3352,0,5559,0,450,0,37,0.7501191437550592,4476
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,11661604.36,355932.96,158890.00,4091,0,1574,0,9253,0,1256,0,43,0.9508752920623712,15936
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,6547105.89,74413.58,32370.00,1473,0,1670,0,3976,0,309,0,18,0.7627129990959822,3324
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,2567391.12,2425778.71,2929914.00,1718,0,680,0,4164,0,812,0,20,0.9649161730864945,8628
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,6983270.32,2183033.86,3164205.00,1698,0,402,0,4237,0,528,0,47,0.592349515061805,9492
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1408534.89,379080.64,895843.00,446,0,112,0,1092,0,246,0,8,0.9052218778955821,1824
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,556732.61,643579.63,294200.62,477,0,203,0,1056,0,204,0,19,0.9675959166084831,1896
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1982014.31,922198.18,754591.30,766,0,178,0,1661,0,319,0,25,0.9483550241823121,2952
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,870106.11,274170.97,462685.51,369,0,202,0,796,0,163,0,22,0.9130728668288614,1368
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,9606194.99,0.00,0,3896,0,1397,0,8474,0,1789,53,0.9791218069786561,16068
